Start of Data
Temperature: 76.88 F; 24.93 C
Temperature: 76.70 F; 24.83 C
Temperature: 76.70 F; 24.83 C
Temperature: 76.70 F; 24.83 C
Temperature: 76.70 F; 24.83 C
Temperature: 76.70 F; 24.83 C
Temperature: 76.70 F; 24.83 C
Temperature: 76.70 F; 24.83 C
Temperature: 76.70 F; 24.83 C
Temperature: 76.70 F; 24.83 C
Temperature: 76.88 F; 24.93 C
Temperature: 77.42 F; 25.23 C
Temperature: 80.15 F; 26.75 C
Temperature: 82.54 F; 28.08 C
Temperature: 84.20 F; 29.00 C
Temperature: 85.32 F; 29.62 C
Temperature: 86.26 F; 30.14 C
Temperature: 86.82 F; 30.46 C
Temperature: 87.20 F; 30.67 C
Temperature: 87.58 F; 30.88 C
Temperature: 87.58 F; 30.88 C
Temperature: 86.82 F; 30.46 C
Temperature: 85.70 F; 29.83 C
Temperature: 84.76 F; 29.31 C
Temperature: 84.20 F; 29.00 C
Temperature: 83.46 F; 28.59 C
Temperature: 82.91 F; 28.28 C
Temperature: 82.54 F; 28.08 C
Temperature: 81.98 F; 27.77 C
Temperature: 81.43 F; 27.46 C
Temperature: 81.07 F; 27.26 C
Temperature: 80.70 F; 27.05 C
Temperature: 80.33 F; 26.85 C
Temperature: 79.97 F; 26.65 C
Temperature: 79.60 F; 26.45 C
Temperature: 79.42 F; 26.34 C
Temperature: 79.06 F; 26.14 C
Temperature: 78.87 F; 26.04 C
Temperature: 78.69 F; 25.94 C
Temperature: 78.51 F; 25.84 C
Temperature: 78.33 F; 25.74 C
Temperature: 78.15 F; 25.64 C
Temperature: 77.96 F; 25.54 C
Temperature: 77.96 F; 25.54 C
Temperature: 77.78 F; 25.44 C
Temperature: 77.60 F; 25.33 C
Temperature: 77.60 F; 25.33 C
Temperature: 77.42 F; 25.23 C
Temperature: 77.24 F; 25.13 C
Temperature: 77.06 F; 25.03 C
Temperature: 76.88 F; 24.93 C
Temperature: 76.88 F; 24.93 C
Temperature: 76.70 F; 24.83 C
Temperature: 76.70 F; 24.83 C
Temperature: 76.52 F; 24.73 C
Temperature: 76.52 F; 24.73 C
